Date,Price,Open,High,Low,Vol.,Change %,pred
2020-12-07,24.2,24.2,24.6,23.3,1050000,0.0041,1.0
2020-12-06,24.1,25.7,25.7,23.6,1170000,-0.0474,1.0
2020-12-03,25.3,25.4,25.8,24.9,979250,0.0,1.0
2020-12-02,25.3,25.7,26.5,25.0,1700000,0.0,1.0
2020-12-01,25.3,26.1,26.2,25.0,1670000,-0.0269,1.0
2020-11-30,26.0,25.9,27.1,25.7,3610000,0.0236,1.0
2020-11-29,25.4,24.6,25.6,24.4,2280000,0.041,1.0
2020-11-26,24.4,24.5,25.2,24.0,1890000,0.0041,1.0
2020-11-25,24.3,23.6,24.5,23.3,1730000,0.0385,1.0
2020-11-24,23.4,24.0,24.7,23.1,1660000,-0.0085,1.0
2020-11-23,23.6,22.2,23.7,21.6,1960000,0.0926,1.0
2020-11-22,21.6,22.0,22.3,21.2,883190,0.0047,1.0
2020-11-19,21.5,22.0,22.4,21.4,674230,-0.0046,1.0
2020-11-18,21.6,22.2,22.4,21.1,1130000,-0.0182,1.0
2020-11-17,22.0,22.9,23.2,21.9,1290000,-0.0179,1.0
2020-11-16,22.4,23.0,23.5,22.0,1160000,-0.0218,1.0
2020-11-15,22.9,24.8,24.9,22.7,1650000,-0.0615,1.0
2020-11-12,24.4,22.7,24.4,22.2,1680000,0.0991,1.0
2020-11-11,22.2,24.4,24.6,22.0,2130000,-0.0902,1.0
2020-11-10,24.4,24.9,25.8,24.2,1230000,-0.0081,1.0
2020-11-09,24.6,25.8,26.3,24.2,2130000,-0.0391,1.0
2020-11-08,25.6,26.9,27.2,25.4,1580000,-0.0376,1.0
2020-11-05,26.6,27.5,28.0,26.3,2120000,-0.0256,1.0
2020-11-04,27.3,26.0,27.6,25.8,2470000,0.0748,1.0
2020-11-03,25.4,26.6,26.7,24.5,2310000,-0.0268,1.0
2020-11-02,26.1,28.0,28.5,25.8,2690000,-0.0543,1.0
2020-11-01,27.6,26.8,28.9,26.2,3000000,0.0299,1.0
2020-10-29,26.8,30.5,30.9,26.8,4470000,-0.0976,1.0
2020-10-28,29.7,28.0,29.7,27.3,6890000,0.1,1.0
2020-10-27,27.0,26.3,27.4,25.3,4720000,0.0305,1.0
2020-10-25,26.2,26.4,27.5,25.2,5030000,0.0038,1.0
2020-10-22,26.1,24.8,26.8,24.8,6820000,0.0567,1.0
2020-10-21,24.7,23.6,24.9,23.4,3810000,0.0466,1.0
2020-10-20,23.6,24.0,24.7,23.3,4210000,0.0043,1.0
2020-10-19,23.5,23.8,23.9,22.6,3310000,0.0043,1.0
2020-10-18,23.4,23.1,24.8,23.0,3830000,0.0218,1.0
2020-10-15,22.9,20.9,22.9,19.5,2790000,0.0957,1.0
2020-10-14,20.9,23.2,23.7,20.9,3190000,-0.0991,1.0
